target_index,ik_ok,peak_sample_idx,point_drift,range_3d_est_m,range_horiz_est_m,sensor_angle_deg,sensor_x,sensor_y,sensor_z,stationarity_ok,target_x_true,target_y_true,vantage_index,waveform_tag
6,True,28.0,0.05462598456258558,0.5489229212531159,0.514990511528537,0.01897555349775006,0.6000102046531763,0.15008513033238582,0.6500030171145457,False,1.1,0.0,4,t06_v4
7,True,30.0,0.0498703057576011,0.5833319785879489,0.5515092825374965,0.0157684078598945,0.599996926024218,-0.15006224467517634,0.6500360716240658,True,1.1,0.075,0,t07_v0
7,True,28.0,0.10022270230112827,0.5489229212531159,0.5149267980327553,0.06183686549644409,0.5999973413369495,-0.07520637018598755,0.6501756192175764,False,1.1,0.075,1,t07_v1
7,True,27.0,0.002511005481783146,0.5317183925856995,0.49646613137423556,0.09174791530964964,0.5999997946343282,-0.00011364817998411109,0.6503833748314709,True,1.1,0.075,2,t07_v2
7,True,27.0,0.019662423005306923,0.5317183925856995,0.4964938613158065,0.07349160818859356,0.6000036213170103,0.07506928164335265,0.650311047208618,True,1.1,0.075,3,t07_v3
7,True,27.0,0.12864116258279376,0.5317183925856995,0.4966118227562547,0.01897555349775006,0.6000102046531763,0.15008513033238582,0.6500030171145457,False,1.1,0.075,4,t07_v4
8,True,33.0,0.01613497743381861,0.6349455645901982,0.6058400461132117,0.0157684078598945,0.599996926024218,-0.15006224467517634,0.6500360716240658,True,1.1,0.15,0,t08_v0
8,True,31.0,0.09700562844637595,0.6005365072553653,0.5696291165325776,0.06183686549644409,0.5999973413369495,-0.07520637018598755,0.6501756192175764,False,1.1,0.15,1,t08_v1
8,True,30.0,0.11282932713620406,0.5833319785879489,0.5513894883211966,0.09174791530964964,0.5999997946343282,-0.00011364817998411109,0.6503833748314709,False,1.1,0.15,2,t08_v2
8,True,27.0,0.05761768027639575,0.5317183925856995,0.4964938613158065,0.07349160818859356,0.6000036213170103,0.07506928164335265,0.650311047208618,False,1.1,0.15,3,t08_v3
8,True,27.0,0.08481522361517163,0.5317183925856995,0.4966118227562547,0.01897555349775006,0.6000102046531763,0.15008513033238582,0.6500030171145457,False,1.1,0.15,4,t08_v4
9,True,34.0,0.05151777477446281,0.6521500932576147,0.6238477663802352,0.0157684078598945,0.599996926024218,-0.15006224467517634,0.6500360716240658,False,1.2,-0.15,0,t09_v0
