cell_id,block,target_distance_m,target_size_m,sensor_pitch_deg,clutter,sensor_pos_x_m,sensor_pos_y_m,sensor_pos_z_m,notes,snr_peak,snr_energy,peak_idx_with,early_energy_with,peak_idx_without,early_energy_without,peak_idx_noise,early_energy_noise,detectable
B_d0.3_z0.10_p30_cnone,B,0.3,0.1,30.0,none,0.0,0.0,0.65,block B,28.140308422921592,1.986243487633505,13.0,1090.1855022337618,304.0,22.149801766644174,13.0,1074.273935990593,True
B_d0.3_z0.10_p60_cnone,B,0.3,0.1,60.0,none,0.0,0.0,0.65,block B,7.529824203670394,1.2683527977282585,12.0,125.45982122836297,304.0,22.149801766644174,13.0,120.81771847054208,False
B_d0.5_z0.10_p30_cnone,B,0.5,0.1,30.0,none,0.0,0.0,0.65,block B,20.78611618494894,1.6724028221220832,24.0,22.487172371782577,304.0,22.149801766644174,24.0,21.468642828755605,True
B_d0.5_z0.10_p60_cnone,B,0.5,0.1,60.0,none,0.0,0.0,0.65,block B,4.644130100417018,1.1642677956665213,24.0,22.487172371782577,304.0,22.149801766644174,24.0,22.560504714291376,False
B_d0.8_z0.10_p30_cnone,B,0.8,0.1,30.0,none,0.0,0.0,0.65,block B,14.691900619300167,1.4833107704185249,41.0,22.487172371782577,304.0,22.149801766644174,41.0,21.468642828755605,True
B_d0.8_z0.10_p60_cnone,B,0.8,0.1,60.0,none,0.0,0.0,0.65,block B,4.113584627639211,1.1099508135208034,41.0,22.487172371782577,304.0,22.149801766644174,41.0,22.560504714291376,False
B_d1.2_z0.10_p30_cnone,B,1.2,0.1,30.0,none,0.0,0.0,0.65,block B,22.202753193035704,1.6147224788310963,64.0,22.487172371782577,304.0,22.149801766644174,64.0,21.468642828755605,True
B_d1.2_z0.10_p60_cnone,B,1.2,0.1,60.0,none,0.0,0.0,0.65,block B,7.279136526029042,1.2151624478623224,64.0,22.487172371782577,304.0,22.149801766644174,64.0,21.468642828755605,False
C_d0.15_z0.10_p0_ctable,C,0.15,0.1,0.0,table,0.0,0.0,0.65,block C,67.39407780958545,2.336185800076371,5.0,2979.1418102228636,19.0,34.241875051266476,5.0,2991.288704950683,True
C_d0.15_z0.10_p30_ctable,C,0.15,0.1,30.0,table,0.0,0.0,0.65,block C,81.66520175287067,3.72020260521616,10.0,4553.645225220181,15.0,314.68018425088707,10.0,4562.780129360135,True
