target_index,ik_ok,peak_sample_idx,point_drift,range_3d_est_m,range_horiz_est_m,sensor_angle_deg,sensor_x,sensor_y,sensor_z,stationarity_ok,target_x_true,target_y_true,vantage_index,waveform_tag
4,True,26.0,0.005451076670599833,0.514513863918283,0.4779595530282238,0.10968439314922832,0.59999849686851,-0.07150020563615937,0.6504709474780392,True,1.075,-0.15,5,t04_v5
4,True,26.0,0.1467003259734582,0.514513863918283,0.4779913565852646,0.08994978362800957,0.5999992949707594,-0.03572105357571624,0.6503911216257205,False,1.075,-0.15,6,t04_v6
4,True,27.0,0.08158253060993902,0.5317183925856995,0.49650751709743973,0.06322881627547422,0.5999998314016323,1.1044242398506474e-05,0.6502754174339284,False,1.075,-0.15,7,t04_v7
4,True,28.0,0.08013138330983052,0.5489229212531159,0.5148540237056779,0.08910479693579249,0.6000010935208556,0.0356059541047167,0.6503725498887059,False,1.075,-0.15,8,t04_v8
4,True,30.0,0.00986305582066898,0.5833319785879489,0.5513977579533733,0.0838175664386622,0.6000038308050406,0.07148551290900919,0.650359422586129,True,1.075,-0.15,9,t04_v9
4,True,31.0,0.0971105227155525,0.6005365072553653,0.5695942352537119,0.06954442529065336,0.6000065003231903,0.10725051354929445,0.6502800665130547,False,1.075,-0.15,10,t04_v10
4,True,31.0,0.03478113158068979,0.6005365072553653,0.5696704064170757,0.046425784306341,0.6000094981256674,0.14266705343963718,0.6500518997512977,True,1.075,-0.15,11,t04_v11
4,True,32.0,0.09340935430117016,0.6177410359227818,0.5877802043086157,0.04268622092849444,0.6000139504702998,0.17839974052649857,0.650048464571208,False,1.075,-0.15,12,t04_v12
4,True,33.0,0.02027810152606686,0.6349455645901982,0.6058527210597651,0.01872481031511735,0.6000182606349846,0.21421108497879998,0.6499956588378906,True,1.075,-0.15,13,t04_v13
4,True,35.0,0.043184522928857265,0.6693546219250311,0.6418268958576062,0.006394285901241441,0.6000238097007958,0.2500326327906729,0.64998380364176,True,1.075,-0.15,14,t04_v14
5,True,29.0,0.04160704011212162,0.5661274499205324,0.5332899950475002,0.015377425930659811,0.5999948337037432,-0.24996379443724087,0.650005449226495,True,1.075,-0.075,0,t05_v0
5,True,27.0,0.06262223819862069,0.5317183925856995,0.49649674156036694,0.0914642635307868,0.5999945847177396,-0.21453814804518145,0.6503035328990461,False,1.075,-0.075,1,t05_v1
5,True,26.0,0.061702678098458794,0.514513863918283,0.47802049551614334,0.09882248232422976,0.5999970076791361,-0.1788590382920641,0.6503179498382174,False,1.075,-0.075,2,t05_v2
5,True,26.0,0.07006965646744102,0.514513863918283,0.4780670597232533,0.054579836327358695,0.5999972808079161,-0.14297890691898754,0.6502009531303269,False,1.075,-0.075,3,t05_v3
5,True,26.0,0.07165893825903112,0.514513863918283,0.4780506397064582,0.06063704392307423,0.5999972849723674,-0.10724488756266959,0.6502422193950848,False,1.075,-0.075,4,t05_v4
5,True,25.0,0.02775132194492857,0.4973093352508666,0.4593880637266024,0.10968439314922832,0.59999849686851,-0.07150020563615937,0.6504709474780392,True,1.075,-0.075,5,t05_v5
5,True,28.0,0.05611105453245071,0.5489229212531159,0.5148471562348913,0.08994978362800957,0.5999992949707594,-0.03572105357571624,0.6503911216257205,False,1.075,-0.075,6,t05_v6
5,True,26.0,0.02308708013485274,0.514513863918283,0.4780374270749789,0.06322881627547422,0.5999998314016323,1.1044242398506474e-05,0.6502754174339284,True,1.075,-0.075,7,t05_v7
5,True,26.0,0.08359085913583796,0.514513863918283,0.47799875356845195,0.08910479693579249,0.6000010935208556,0.0356059541047167,0.6503725498887059,False,1.075,-0.075,8,t05_v8
5,True,27.0,0.02472442340427701,0.5317183925856995,0.49647531584822585,0.0838175664386622,0.6000038308050406,0.07148551290900919,0.650359422586129,True,1.075,-0.075,9,t05_v9
5,True,29.0,0.0025486884076838046,0.5661274499205324,0.5331920721853546,0.06954442529065336,0.6000065003231903,0.10725051354929445,0.6502800665130547,True,1.075,-0.075,10,t05_v10
5,True,30.0,0.08465951564341198,0.5833319785879489,0.5515038283133255,0.046425784306341,0.6000094981256674,0.14266705343963718,0.6500518997512977,False,1.075,-0.075,11,t05_v11
5,True,30.0,0.01497991564084589,0.5833319785879489,0.5515050120873405,0.04268622092849444,0.6000139504702998,0.17839974052649857,0.650048464571208,True,1.075,-0.075,12,t05_v12
5,True,31.0,0.04311902151600215,0.6005365072553653,0.5696891662733542,0.01872481031511735,0.6000182606349846,0.21421108497879998,0.6499956588378906,True,1.075,-0.075,13,t05_v13
5,True,32.0,0.12787809323601554,0.6177410359227818,0.5878011073626528,0.006394285901241441,0.6000238097007958,0.2500326327906729,0.64998380364176,False,1.075,-0.075,14,t05_v14
6,True,30.0,0.05883252218168362,0.5833319785879489,0.551519833285775,0.015377425930659811,0.5999948337037432,-0.24996379443724087,0.650005449226495,False,1.075,0.0,0,t06_v0
6,True,28.0,0.07815056312746899,0.5489229212531159,0.5148795381865512,0.0914642635307868,0.5999945847177396,-0.21453814804518145,0.6503035328990461,False,1.075,0.0,1,t06_v1
6,True,29.0,0.03667712040962971,0.5661274499205324,0.5331785512592406,0.09882248232422976,0.5999970076791361,-0.1788590382920641,0.6503179498382174,True,1.075,0.0,2,t06_v2
6,True,27.0,0.0203821302128787,0.5317183925856995,0.4965360474751408,0.054579836327358695,0.5999972808079161,-0.14297890691898754,0.6502009531303269,True,1.075,0.0,3,t06_v3
6,True,26.0,0.03714901802142714,0.514513863918283,0.4780506397064582,0.06063704392307423,0.5999972849723674,-0.10724488756266959,0.6502422193950848,True,1.075,0.0,4,t06_v4
6,True,26.0,0.02894648562679503,0.514513863918283,0.4779595530282238,0.10968439314922832,0.59999849686851,-0.07150020563615937,0.6504709474780392,True,1.075,0.0,5,t06_v5
6,True,28.0,0.07573509938803154,0.5489229212531159,0.5148471562348913,0.08994978362800957,0.5999992949707594,-0.03572105357571624,0.6503911216257205,False,1.075,0.0,6,t06_v6
6,True,25.0,0.02981240414634704,0.4973093352508666,0.45946908541054554,0.06322881627547422,0.5999998314016323,1.1044242398506474e-05,0.6502754174339284,True,1.075,0.0,7,t06_v7
6,True,26.0,0.0802532186710126,0.514513863918283,0.47799875356845195,0.08910479693579249,0.6000010935208556,0.0356059541047167,0.6503725498887059,False,1.075,0.0,8,t06_v8
6,True,26.0,0.020731270025959824,0.514513863918283,0.4780039815700252,0.0838175664386622,0.6000038308050406,0.07148551290900919,0.650359422586129,True,1.075,0.0,9,t06_v9
6,True,26.0,0.049672603129833404,0.514513863918283,0.47803557655462103,0.06954442529065336,0.6000065003231903,0.10725051354929445,0.6502800665130547,True,1.075,0.0,10,t06_v10
6,True,27.0,0.0010984707930564827,0.5317183925856995,0.49659311756693003,0.046425784306341,0.6000094981256674,0.14266705343963718,0.6500518997512977,True,1.075,0.0,11,t06_v11
6,True,29.0,0.004366669383186983,0.5661274499205324,0.5332746671909807,0.04268622092849444,0.6000139504702998,0.17839974052649857,0.650048464571208,True,1.075,0.0,12,t06_v12
6,True,28.0,0.0652559176990055,0.5489229212531159,0.5149932262659486,0.01872481031511735,0.6000182606349846,0.21421108497879998,0.6499956588378906,False,1.075,0.0,13,t06_v13
